Training Log - ce

[01:12:27] Epoch 1 | Loss: 2.3796 | Acc: 0.7196 | IoU: 0.3453 | F1: 0.4164
[01:15:41] Epoch 2 | Loss: 1.0140 | Acc: 0.7931 | IoU: 0.4181 | F1: 0.4766
[01:19:13] Epoch 3 | Loss: 0.7878 | Acc: 0.7662 | IoU: 0.3992 | F1: 0.4726
[01:22:45] Epoch 4 | Loss: 0.6983 | Acc: 0.8575 | IoU: 0.4512 | F1: 0.5350
[01:25:41] Epoch 5 | Loss: 0.6065 | Acc: 0.6656 | IoU: 0.3000 | F1: 0.3713

Per-class Accuracy:
Class 0: Acc=0.0000, Count=0
Class 1: Acc=0.0000, Count=0
Class 2: Acc=0.0000, Count=0
Class 3: Acc=0.0000, Count=0
Class 4: Acc=0.0000, Count=0
Class 5: Acc=0.0000, Count=0
Class 6: Acc=0.0000, Count=0
Class 7: Acc=0.8520, Count=684609536
Class 8: Acc=0.0000, Count=969803
Class 9: Acc=0.0000, Count=0
Class 10: Acc=0.0000, Count=0
Class 11: Acc=0.0000, Count=0
Class 12: Acc=0.0000, Count=0
Class 13: Acc=0.0000, Count=37574544
Class 14: Acc=0.8357, Count=3497851136
Class 15: Acc=0.0000, Count=1452771
Class 16: Acc=0.0000, Count=2537923
Class 17: Acc=0.0000, Count=7703807
Class 18: Acc=0.0000, Count=0
Class 19: Acc=0.0000, Count=717106
Class 20: Acc=0.0000, Count=26824
Class 21: Acc=0.1009, Count=547639872
Class 22: Acc=0.0000, Count=0
Class 23: Acc=0.0000, Count=0
Class 24: Acc=0.0000, Count=0
Class 25: Acc=0.0000, Count=0
Class 26: Acc=0.0000, Count=0
Class 27: Acc=0.0000, Count=0
Class 28: Acc=0.0000, Count=0
Class 29: Acc=0.0000, Count=0
Class 30: Acc=0.0000, Count=0
Class 31: Acc=0.0000, Count=18554
Class 32: Acc=0.0000, Count=368088
Class 33: Acc=0.0000, Count=0
Class 34: Acc=0.0000, Count=100021
Class 35: Acc=0.0000, Count=34708936
