Training Log - wce

[23:39:03] Epoch 1 | Loss: 2.3039 | Acc: 0.6111 | IoU: 0.3756 | F1: 0.4733
[23:41:57] Epoch 2 | Loss: 0.9529 | Acc: 0.6931 | IoU: 0.3242 | F1: 0.4115
[23:44:51] Epoch 3 | Loss: 0.7326 | Acc: 0.7553 | IoU: 0.3544 | F1: 0.4391
[23:47:58] Epoch 4 | Loss: 0.6888 | Acc: 0.6156 | IoU: 0.3117 | F1: 0.3854
[23:51:09] Epoch 5 | Loss: 0.6510 | Acc: 0.7659 | IoU: 0.3580 | F1: 0.4281

Per-class Accuracy:
Class 0: Acc=0.0000, Count=0
Class 1: Acc=0.0000, Count=0
Class 2: Acc=0.0000, Count=0
Class 3: Acc=0.0000, Count=0
Class 4: Acc=0.0000, Count=0
Class 5: Acc=0.0000, Count=0
Class 6: Acc=0.0000, Count=0
Class 7: Acc=0.4970, Count=684609536
Class 8: Acc=0.0000, Count=969803
Class 9: Acc=0.0000, Count=0
Class 10: Acc=0.0000, Count=0
Class 11: Acc=0.0000, Count=0
Class 12: Acc=0.0000, Count=0
Class 13: Acc=0.0000, Count=37574544
Class 14: Acc=0.8841, Count=3497851136
Class 15: Acc=0.0000, Count=1452771
Class 16: Acc=0.0000, Count=2537923
Class 17: Acc=0.0000, Count=7703807
Class 18: Acc=0.0000, Count=0
Class 19: Acc=0.0000, Count=717106
Class 20: Acc=0.0000, Count=26824
Class 21: Acc=0.9042, Count=547639872
Class 22: Acc=0.0000, Count=0
Class 23: Acc=0.0000, Count=0
Class 24: Acc=0.0000, Count=0
Class 25: Acc=0.0000, Count=0
Class 26: Acc=0.0000, Count=0
Class 27: Acc=0.0000, Count=0
Class 28: Acc=0.0000, Count=0
Class 29: Acc=0.0000, Count=0
Class 30: Acc=0.0000, Count=0
Class 31: Acc=0.0000, Count=18554
Class 32: Acc=0.0000, Count=368088
Class 33: Acc=0.0000, Count=0
Class 34: Acc=0.0000, Count=100021
Class 35: Acc=0.0000, Count=34708936
